"location","category","date","Y"
"market_001","region_4",2022-01-01,578
"market_001","region_4",2022-01-02,547
"market_001","region_4",2022-01-03,529
"market_001","region_4",2022-01-04,540
"market_001","region_4",2022-01-05,538
"market_001","region_4",2022-01-06,522
"market_001","region_4",2022-01-07,585
"market_001","region_4",2022-01-08,602
"market_001","region_4",2022-01-09,619
"market_001","region_4",2022-01-10,607
"market_001","region_4",2022-01-11,580
"market_001","region_4",2022-01-12,608
"market_001","region_4",2022-01-13,591
"market_001","region_4",2022-01-14,608
"market_001","region_4",2022-01-15,604
"market_001","region_4",2022-01-16,606
"market_001","region_4",2022-01-17,621
"market_001","region_4",2022-01-18,567
"market_001","region_4",2022-01-19,541
"market_001","region_4",2022-01-20,597
"market_001","region_4",2022-01-21,576
"market_001","region_4",2022-01-22,561
"market_001","region_4",2022-01-23,579
"market_001","region_4",2022-01-24,556
"market_001","region_4",2022-01-25,595
"market_001","region_4",2022-01-26,558
"market_001","region_4",2022-01-27,563
"market_001","region_4",2022-01-28,555
"market_001","region_4",2022-01-29,597
"market_001","region_4",2022-01-30,612
"market_001","region_4",2022-01-31,573
"market_001","region_4",2022-02-01,580
"market_001","region_4",2022-02-02,590
"market_001","region_4",2022-02-03,616
"market_001","region_4",2022-02-04,624
"market_001","region_4",2022-02-05,588
"market_001","region_4",2022-02-06,586
"market_001","region_4",2022-02-07,565
"market_001","region_4",2022-02-08,548
"market_001","region_4",2022-02-09,542
"market_001","region_4",2022-02-10,560
"market_001","region_4",2022-02-11,551
"market_001","region_4",2022-02-12,571
"market_001","region_4",2022-02-13,579
"market_001","region_4",2022-02-14,538
"market_001","region_4",2022-02-15,517
"market_001","region_4",2022-02-16,534
"market_001","region_4",2022-02-17,537
"market_001","region_4",2022-02-18,530
"market_001","region_4",2022-02-19,591
"market_001","region_4",2022-02-20,538
"market_001","region_4",2022-02-21,507
"market_001","region_4",2022-02-22,500
"market_001","region_4",2022-02-23,555
"market_001","region_4",2022-02-24,545
"market_001","region_4",2022-02-25,568
"market_001","region_4",2022-02-26,595
"market_001","region_4",2022-02-27,582
"market_001","region_4",2022-02-28,525
"market_001","region_4",2022-03-01,511
"market_001","region_4",2022-03-02,537
"market_001","region_4",2022-03-03,560
"market_001","region_4",2022-03-04,538
"market_001","region_4",2022-03-05,608
"market_001","region_4",2022-03-06,603
"market_001","region_4",2022-03-07,619
"market_001","region_4",2022-03-08,590
"market_001","region_4",2022-03-09,598
"market_001","region_4",2022-03-10,623
"market_001","region_4",2022-03-11,633
"market_001","region_4",2022-03-12,631
"market_001","region_4",2022-03-13,630
"market_001","region_4",2022-03-14,632
"market_001","region_4",2022-03-15,588
"market_001","region_4",2022-03-16,578
"market_001","region_4",2022-03-17,584
"market_001","region_4",2022-03-18,602
"market_001","region_4",2022-03-19,636
"market_001","region_4",2022-03-20,645
"market_001","region_4",2022-03-21,576
"market_001","region_4",2022-03-22,590
"market_001","region_4",2022-03-23,574
"market_001","region_4",2022-03-24,619
"market_001","region_4",2022-03-25,611
"market_001","region_4",2022-03-26,619
"market_001","region_4",2022-03-27,625
"market_001","region_4",2022-03-28,587
"market_001","region_4",2022-03-29,592
"market_001","region_4",2022-03-30,598
"market_001","region_4",2022-03-31,633
"market_001","region_4",2022-04-01,628
"market_001","region_4",2022-04-02,637
"market_001","region_4",2022-04-03,677
"market_001","region_4",2022-04-04,655
"market_001","region_4",2022-04-05,633
"market_001","region_4",2022-04-06,639
"market_001","region_4",2022-04-07,632
"market_001","region_4",2022-04-08,674
"market_001","region_4",2022-04-09,656
"market_001","region_4",2022-04-10,657
"market_001","region_4",2022-04-11,668
"market_001","region_4",2022-04-12,646
"market_001","region_4",2022-04-13,635
"market_001","region_4",2022-04-14,639
"market_001","region_4",2022-04-15,624
"market_001","region_4",2022-04-16,651
"market_001","region_4",2022-04-17,666
"market_001","region_4",2022-04-18,630
"market_001","region_4",2022-04-19,648
"market_001","region_4",2022-04-20,646
"market_001","region_4",2022-04-21,645
"market_001","region_4",2022-04-22,652
"market_001","region_4",2022-04-23,635
"market_001","region_4",2022-04-24,647
"market_001","region_4",2022-04-25,618
"market_001","region_4",2022-04-26,623
"market_001","region_4",2022-04-27,629
"market_001","region_4",2022-04-28,649
"market_001","region_4",2022-04-29,625
"market_001","region_4",2022-04-30,688
"market_001","region_4",2022-05-01,663
"market_001","region_4",2022-05-02,626
"market_001","region_4",2022-05-03,573
"market_001","region_4",2022-05-04,587
"market_001","region_4",2022-05-05,615
"market_001","region_4",2022-05-06,642
"market_001","region_4",2022-05-07,613
"market_001","region_4",2022-05-08,672
"market_001","region_4",2022-05-09,546
"market_001","region_4",2022-05-10,577
"market_001","region_4",2022-05-11,578
"market_001","region_4",2022-05-12,575
"market_001","region_4",2022-05-13,595
"market_001","region_4",2022-05-14,632
"market_001","region_4",2022-05-15,610
"market_001","region_4",2022-05-16,564
"market_001","region_4",2022-05-17,588
"market_001","region_4",2022-05-18,592
"market_001","region_4",2022-05-19,595
"market_001","region_4",2022-05-20,620
"market_001","region_4",2022-05-21,615
"market_001","region_4",2022-05-22,617
"market_001","region_4",2022-05-23,550
"market_001","region_4",2022-05-24,553
"market_001","region_4",2022-05-25,573
"market_001","region_4",2022-05-26,581
"market_001","region_4",2022-05-27,616
"market_001","region_4",2022-05-28,588
"market_001","region_4",2022-05-29,624
"market_001","region_4",2022-05-30,580
"market_001","region_4",2022-05-31,561
"market_001","region_4",2022-06-01,562
"market_001","region_4",2022-06-02,591
"market_001","region_4",2022-06-03,583
"market_001","region_4",2022-06-04,599
"market_001","region_4",2022-06-05,578
"market_001","region_4",2022-06-06,608
"market_001","region_4",2022-06-07,584
"market_001","region_4",2022-06-08,546
"market_001","region_4",2022-06-09,596
"market_001","region_4",2022-06-10,594
"market_001","region_4",2022-06-11,578
"market_001","region_4",2022-06-12,603
"market_001","region_4",2022-06-13,572
"market_001","region_4",2022-06-14,585
"market_001","region_4",2022-06-15,574
"market_001","region_4",2022-06-16,597
"market_001","region_4",2022-06-17,583
"market_001","region_4",2022-06-18,604
"market_001","region_4",2022-06-19,610
"market_001","region_4",2022-06-20,592
"market_001","region_4",2022-06-21,585
"market_001","region_4",2022-06-22,562
"market_001","region_4",2022-06-23,585
"market_001","region_4",2022-06-24,633
"market_001","region_4",2022-06-25,633
"market_001","region_4",2022-06-26,592
"market_001","region_4",2022-06-27,622
"market_001","region_4",2022-06-28,593
"market_001","region_4",2022-06-29,579
"market_001","region_4",2022-06-30,607
"market_001","region_4",2022-07-01,613
"market_001","region_4",2022-07-02,633
"market_001","region_4",2022-07-03,615
"market_001","region_4",2022-07-04,605
"market_001","region_4",2022-07-05,623
"market_001","region_4",2022-07-06,621
"market_001","region_4",2022-07-07,603
"market_001","region_4",2022-07-08,612
"market_001","region_4",2022-07-09,654
"market_001","region_4",2022-07-10,657
"market_001","region_4",2022-07-11,592
"market_001","region_4",2022-07-12,572
"market_001","region_4",2022-07-13,627
"market_001","region_4",2022-07-14,583
"market_001","region_4",2022-07-15,605
"market_001","region_4",2022-07-16,614
"market_001","region_4",2022-07-17,638
"market_001","region_4",2022-07-18,610
"market_001","region_4",2022-07-19,627
"market_001","region_4",2022-07-20,575
"market_001","region_4",2022-07-21,599
"market_001","region_4",2022-07-22,595
"market_001","region_4",2022-07-23,643
"market_001","region_4",2022-07-24,647
"market_001","region_4",2022-07-25,600
"market_001","region_4",2022-07-26,608
"market_001","region_4",2022-07-27,624
"market_001","region_4",2022-07-28,597
"market_001","region_4",2022-07-29,591
"market_001","region_4",2022-07-30,598
"market_001","region_4",2022-07-31,606
"market_001","region_4",2022-08-01,644
"market_001","region_4",2022-08-02,541
"market_001","region_4",2022-08-03,600
"market_001","region_4",2022-08-04,613
"market_001","region_4",2022-08-05,630
"market_001","region_4",2022-08-06,622
