"location","duration","EffectSize","power","AvgScaledL2Imbalance","Investment","AvgATT","AvgDetectedLift"
"atlanta, chicago",14,-0.1,1,0.432280106716902,9661.6,-343.50158663091,-0.0995940869351067
"atlanta, chicago",14,-0.05,0,0.432280106716902,4830.8,-170.973015202339,-0.0495715362092794
"atlanta, chicago",14,0,0,0.432280106716902,0,1.55555622623225,0.00045101451654803
"atlanta, chicago",14,0.05,0,0.432280106716902,4830.8,174.084127654804,0.0504735652423755
"atlanta, chicago",14,0.1,1,0.432280106716902,9661.6,346.612699083375,0.100496115968203
"atlanta, nashville",14,-0.1,1,0.493571494504784,10343,-37.5937971039296,-0.011181543416628
"atlanta, nashville",14,-0.05,1,0.493571494504784,5171.5,147.102631467499,0.0437528152824482
"atlanta, nashville",14,0,1,0.493571494504784,0,331.799060038928,0.0986871739815244
"atlanta, nashville",14,0.05,1,0.493571494504784,5171.5,516.495488610356,0.153621532680601
"atlanta, nashville",14,0.1,1,0.493571494504784,10343,701.191917181785,0.208555891379677
"austin, oakland",14,-0.1,1,0.336850057674941,23806.7,-1038.32511443227,-0.119478472011167
"austin, oakland",14,-0.05,1,0.336850057674941,11903.35,-613.205471575128,-0.0705606093451211
"austin, oakland",14,0,1,0.336850057674941,0,-188.085828717985,-0.0216427466790748
"austin, oakland",14,0.05,1,0.336850057674941,11903.35,237.033814139158,0.0272751159869715
"austin, oakland",14,0.1,1,0.336850057674941,23806.7,662.153456996301,0.0761929786530178
"baltimore, philadelphia",14,-0.1,0,0.707432090268433,22744.2,-259.879920608065,-0.034327902238288
"baltimore, philadelphia",14,-0.05,0,0.707432090268433,11372.1,146.266507963363,0.0193205476373625
"baltimore, philadelphia",14,0,1,0.707432090268433,0,552.412936534792,0.0729689975130132
"baltimore, philadelphia",14,0.05,1,0.707432090268433,11372.1,958.559365106221,0.126617447388664
"baltimore, philadelphia",14,0.1,1,0.707432090268433,22744.2,1364.70579367765,0.180265897264315
"baton rouge, cincinnati",14,-0.1,1,0.200737160977593,8097.3,-431.402953972333,-0.142184511440425
"baton rouge, cincinnati",14,-0.05,1,0.200737160977593,4048.65,-286.80831111519,-0.0945280954093375
"baton rouge, cincinnati",14,0,1,0.200737160977593,0,-142.213668258047,-0.0468716793782498
"baton rouge, cincinnati",14,0.05,1,0.200737160977593,4048.65,2.38097459909633,0.000784736652837766
"baton rouge, cincinnati",14,0.1,1,0.200737160977593,8097.3,146.975617456239,0.0484411526839252
"boston, new orleans",14,-0.1,1,0.456596922780469,11529.6,-540.19263429604,-0.127219829745231
"boston, new orleans",14,-0.05,0,0.456596922780469,5764.8,-334.306920010326,-0.0787320425088551
"boston, new orleans",14,0,0,0.456596922780469,0,-128.421205724611,-0.0302442552724791
"boston, new orleans",14,0.05,0,0.456596922780469,5764.8,77.464508561103,0.018243531963897
"boston, new orleans",14,0.1,0,0.456596922780469,11529.6,283.350222846817,0.0667313192002731
"chicago, cincinnati",14,-0.1,0,0.17833493024482,8071.5,-403.524077440909,-0.134600685296595
"chicago, cincinnati",14,-0.05,0,0.17833493024482,4035.75,-259.390148869481,-0.0865229455908506
"chicago, cincinnati",14,0,0,0.17833493024482,0,-115.256220298052,-0.0384452058851059
"chicago, cincinnati",14,0.05,0,0.17833493024482,4035.75,28.8777082733764,0.00963253382063879
"chicago, cincinnati",14,0.1,1,0.17833493024482,8071.5,173.011636844805,0.0577102735263835
"chicago, reno",14,-0.1,0,0.25537373642577,7771.5,-450.278807487514,-0.152726917688502
"chicago, reno",14,-0.05,0,0.25537373642577,3885.75,-311.502021773229,-0.105656190893419
"chicago, reno",14,0,0,0.25537373642577,0,-172.725236058943,-0.058585464098336
"chicago, reno",14,0.05,0,0.25537373642577,3885.75,-33.9484503446573,-0.0115147373032528
"chicago, reno",14,0.1,0,0.25537373642577,7771.5,104.828335369628,0.0355559894918304
"cleveland, denver",14,-0.1,1,0.393558762166379,9132.1,-406.213458377806,-0.12156506105181
"cleveland, denver",14,-0.05,1,0.393558762166379,4566.05,-243.140244092092,-0.0727631199991333
"cleveland, denver",14,0,0,0.393558762166379,0,-80.0670298063773,-0.0239611789464561
"cleveland, denver",14,0.05,0,0.393558762166379,4566.05,83.0061844793371,0.0248407621062212
"cleveland, denver",14,0.1,0,0.393558762166379,9132.1,246.079398765051,0.0736427031588984
"cleveland, san francisco",14,-0.1,1,0.391453904570184,18773.2,-1092.83890251048,-0.153336097348718
"cleveland, san francisco",14,-0.05,0,0.391453904570184,9386.6,-757.603188224764,-0.106299213868091
"cleveland, san francisco",14,0,0,0.391453904570184,0,-422.367473939049,-0.0592623303874647
"cleveland, san francisco",14,0.05,0,0.391453904570184,9386.6,-87.1317596533346,-0.0122254469068379
"cleveland, san francisco",14,0.1,0,0.391453904570184,18773.2,248.10395463238,0.0348114365737889
