"ID","location","duration","EffectSize","Power","AvgScaledL2Imbalance","Investment","AvgATT","Average_MDE","ProportionTotal_Y","abs_lift_in_zero","Holdout","rank"
1,"market_017, market_059, market_078",14,-0.05,1,0.391789758399619,1871.45,-44.108749922581,-0.0495204939388235,0.0734113195355411,0,0.0734113195355411,1
2,"market_026, market_036, market_059",14,-0.05,1,0.412721475761117,2039.95,-48.6045067290226,-0.0500335123472208,0.080066092687005,0,0.080066092687005,1
3,"market_026, market_041, market_059",14,-0.05,1,0.403288145591512,2308.15,-55.2352380179126,-0.050241333233903,0.0905667503527227,0,0.0905667503527227,1
4,"market_029, market_059, market_074",14,-0.05,1,0.269340037946725,2349,-56.2697039182726,-0.0502896346653833,0.0921812735532934,0,0.0921812735532934,1
5,"market_029, market_074, market_076",14,-0.05,1,0.377164084466294,1779.3,-42.2553846355986,-0.0498778814255301,0.0697739970882207,0,0.0697739970882207,1
6,"market_045, market_056, market_074",14,-0.05,1,0.364967211529424,1999.65,-47.525753988997,-0.0499152297070086,0.0785596425574816,0,0.0785596425574816,1
7,"market_052, market_067, market_074",14,-0.05,1,0.481149526938235,2544.5,-60.166121492097,-0.0496727748791997,0.0999969158094344,0,0.0999969158094344,1
8,"market_002, market_067, market_070",14,-0.05,1,0.71749394593774,1578.05,-38.6486998969166,-0.0513584560036243,0.0621542767737445,0.001,0.0621542767737445,8
9,"market_003, market_026, market_059",14,-0.05,1,0.41381521667641,2103.9,-51.3499852940334,-0.0511905640046542,0.0826731185236738,0.001,0.0826731185236738,8
10,"market_007, market_035, market_074",14,-0.05,1,0.370619316449361,1895.35,-46.0048678513745,-0.0509227245828756,0.0744154510868864,0.001,0.0744154510868864,8
11,"market_008, market_059, market_074",14,-0.05,1,0.289538135744973,2116.65,-49.223909242341,-0.0488935816573337,0.0829206121764349,0.001,0.0829206121764349,8
12,"market_010, market_050, market_074",14,-0.05,1,0.388303493375945,2066.3,-48.4233659843054,-0.0492518747221043,0.0811030885640489,0.001,0.0811030885640489,8
13,"market_015, market_026, market_074",14,-0.05,1,0.350656042288315,2489.95,-57.9161822859916,-0.0489023894687899,0.0977161316059507,0.001,0.0977161316059507,8
14,"market_016, market_026, market_074",14,-0.05,1,0.348404803233968,2481.5,-60.1947894830632,-0.0508927146367309,0.097577090227995,0.001,0.097577090227995,8
15,"market_019, market_026, market_074",14,-0.05,1,0.370587908228987,2605.3,-62.8423371146551,-0.0506209091358883,0.10245466176668,0.001,0.10245466176668,8
16,"market_021, market_056, market_074",14,-0.05,1,0.381341020570093,1929.6,-44.681806839006,-0.0486944170769897,0.0756794636137562,0.001,0.0756794636137562,8
17,"market_024, market_059, market_074",14,-0.05,1,0.308384371695814,2449.5,-57.5440259709859,-0.0493664206838458,0.0960607808007621,0.001,0.0960607808007621,8
18,"market_026, market_048, market_059",14,-0.05,1,0.401529097622323,2150.6,-50.5499114719267,-0.0493921405499598,0.0843666425071739,0.001,0.0843666425071739,8
19,"market_026, market_059, market_075",14,-0.05,1,0.403840993752066,2122.95,-51.2648103693132,-0.0506746056080274,0.0833894344226509,0.001,0.0833894344226509,8
20,"market_029, market_065, market_067",14,-0.05,1,0.567829786934313,1811.45,-42.5395126515518,-0.0493494970472237,0.0712348163655241,0.001,0.0712348163655241,8
21,"market_035, market_067, market_074",14,-0.05,1,0.496587370502914,2653.4,-64.9428736588231,-0.0513264535165447,0.104345118901866,0.001,0.104345118901866,8
