"location","duration","EffectSize","pvalue","att_estimator","ScaledL2Imbalance","power"
"market_001, market_017",14,-0.1,0,-78.3757476216813,0.628032879950209,1
"market_002, market_007",14,-0.1,0,-37.5286746109149,0.87062563696781,1
"market_003, market_012",14,-0.1,0,-49.6446452059956,0.889417735591425,1
"market_004, market_024",14,-0.1,0,-44.0338428947837,0.887552374015619,1
"market_005, market_024",14,-0.1,0,-60.0029446366645,0.713655675307531,1
"market_006, market_023",14,-0.1,0,-75.2961942715799,0.862770113309206,1
"market_007, market_011",14,-0.1,0,-37.054006761283,0.938015718255742,1
"market_007, market_024",14,-0.1,0,-63.1052396547144,0.705055068418675,1
"market_008, market_024",14,-0.1,0,-51.95295657274,0.735631060900326,1
"market_009, market_024",14,-0.1,0,-56.0967679300232,0.849429433855722,1
"market_010, market_023",14,-0.1,0,-95.6655487482407,0.724028303738123,1
"market_012, market_017",14,-0.1,0,-84.1129652746026,0.630694822440194,1
"market_013, market_023",14,-0.1,0,-59.5155076299835,0.93704758042979,1
"market_014, market_023",14,-0.1,0,-63.7249430942558,0.91461899874683,1
"market_015, market_017",14,-0.1,0,-64.6219297016387,0.745155799758608,1
"market_016, market_024",14,-0.1,0,-55.6638941316577,0.849520408230055,1
"market_017, market_019",14,-0.1,0,-79.0853781405889,0.665269905661065,1
"market_017, market_022",14,-0.1,0,-90.4575297722918,0.711495547591412,1
"market_017, market_024",14,-0.1,0,-88.8691838754163,0.626220194734299,1
"market_018, market_023",14,-0.1,0,-75.6970596536408,0.860571439227558,1
"market_020, market_023",14,-0.1,0,-68.1248970914655,0.96923148259381,1
"market_021, market_024",14,-0.1,0,-49.400113223967,0.854881927882476,1
"market_023, market_024",14,-0.1,0,-93.6930821141203,0.604794034620171,1
"market_001, market_017",14,-0.05,0,-38.8828904788243,0.628032879950209,1
"market_002, market_007",14,-0.05,0.079,-17.3572460394864,0.87062563696781,1
"market_003, market_012",14,-0.05,0,-23.8785737774242,0.889417735591425,1
"market_004, market_024",14,-0.05,0.002,-19.0124143233552,0.887552374015619,1
"market_005, market_024",14,-0.05,0,-28.636873208093,0.713655675307531,1
"market_006, market_023",14,-0.05,0,-42.1122657001514,0.862770113309206,1
"market_007, market_011",14,-0.05,0.051,-16.7307924755687,0.938015718255742,1
"market_007, market_024",14,-0.05,0,-29.5159539404286,0.705055068418675,1
"market_008, market_024",14,-0.05,0.001,-23.4297422870257,0.735631060900326,1
"market_009, market_024",14,-0.05,0,-29.6449822157375,0.849429433855722,1
"market_010, market_023",14,-0.05,0,-48.1226916053837,0.724028303738123,1
"market_012, market_017",14,-0.05,0,-41.3379652746025,0.630694822440194,1
"market_013, market_023",14,-0.05,0,-31.3012219156978,0.93704758042979,1
"market_014, market_023",14,-0.05,0,-32.1070859513987,0.91461899874683,1
"market_015, market_017",14,-0.05,0,-33.0987154159245,0.745155799758608,1
"market_016, market_024",14,-0.05,0,-28.462108417372,0.849520408230055,1
"market_017, market_019",14,-0.05,0,-43.4425209977318,0.665269905661065,1
